0541378,Reynolds,Waterford
0862287,Foley,Donegal
0732746,Dwan,Laois
0517636,Molloy,Mayo
0916109,Flynn,Westmeath
0321488,Cooke,Longford
0545886,Ashe,Louth
0361872,Fenton,Kilkenny
0163627,Mcdonagh,Monaghan
0198563,O'Grady,Cork
0302595,Delaney,Roscommon
0002688,Jones,Mayo
0615287,Quaid,Cavan
0946708,Chawke,Galway
0839818,Barrett,Clare
0067949,Green,Donegal
0541189,Trimble,Clare
0237591,Quin,Kerry
0598117,Burns,Waterford
0327633,Cooke,Sligo
0903867,White,Laois
0097783,Gogarty,Monaghan
0546069,Lovett,Wexford
0161319,Brehony,Roscommon
0526436,Fine,Longford
0340250,Scanlon,Westmeath
0813450,Young,Roscommon
0112031,Baron,Clare
0474249,Savage,Donegal
0811192,Carey,Kilkenny
0927967,Brennan,Mayo
0777469,Hehir,Carlow
0736035,Kennedy,Mayo
0814640,Barrett,Monaghan
0794188,Mcdonagh,Dublin
0936607,Maccurtin,Kildare
0636622,Collins,Clare
0484944,Kelly,Monaghan
0851230,Doogan,Waterford
0150055,Barrett,Kildare
0909064,Slater,Dublin
0129684,Bourke,Wexford
0843766,Mcbride,Donegal
0845644,Berry,Laois
0283009,Relihan,Meath
0643241,Savage,Kildare
0488940,Flanagan,Laois
0094777,Grimes,Wicklow
0024200,Downes,Cork
0888094,Hannon,Galway
0183742,Foley,Kerry
0745526,Bannon,Sligo
0030588,Trimble,Kilkenny
0618244,Savage,Kilkenny
0990963,Doherty,Dublin
0462174,O'Connell,Laois
0230269,Bannon,Monaghan
0690340,Shinners,Westmeath
0044926,Maccurtin,Donegal
0430006,Lyons,Kilkenny
0307168,Sheehy,Mayo
0911637,Browne,Kilkenny
0403702,Thornton,Wexford
0977602,Berry,Clare
0247173,Kelly,Wicklow
0697536,Reynolds,Wicklow
0714244,Sheehy,Wexford
0802971,Bird,Louth
0192720,Lovett,Longford
0915749,Doorley,Westmeath
0788973,Clifford,Longford
0717304,Brannock,Mayo
0859605,Kelly,Louth
0401609,Carey,Laois
0421203,Whealan,Mayo
0852426,Brannock,Sligo
0891080,Williams,Longford
0511040,Cooke,Galway
